Item,USDM JSONata path,FHIR resourceType,FHIR path,FHIR Index level,USDM class,USDM attribute
Condition label,study.versions.studyDesigns.indications.{id: label},ResearchStudy,condition.text,condition,Indication,label
Condition code,study.versions.studyDesigns.indications.{id: codes.code},ResearchStudy,condition.coding.code,condition,Indication,codes
codition decode,study.versions.studyDesigns.indications.{id: codes.decode},ResearchStudy,condition.coding.display,condition,Indication,codes
Condition code system,study.versions.studyDesigns.indications.{id: codes.codeSystem},ResearchStudy,condition.coding.system,condition,Indication,codes
Condition code system version,study.versions.studyDesigns.indications.{id: codes.codeSystemVersion},ResearchStudy,condition.coding.version,condition,Indication,codes
Study Identifier,"(study.versions)@$sv.$sv.studyIdentifiers[scopeId in $sv.roles[code.code=""C70793""].organizationIds[0]].{id: text}",ResearchStudy,identifier.value,identifier,StudyIdentifier,text
Study Identifier Organization,"(study.versions)@$sv.$sv.studyIdentifiers[scopeId in $sv.roles[code.code=""C70793""].organizationIds[0]].{id: $sv.organizations[id=$sv.studyIdentifiers[scopeId in $sv.roles[code.code=""C70793""].organizationIds[0]].scopeId].label}",ResearchStudy,identifier.assigner.display,identifier,StudyIdentifier,scope
NCT Identifier,"study.versions.studyIdentifiers[$substring(text,0,3)=""NCT""].{id: text}",ResearchStudy,identifier.value,identifier,StudyIdentifier,text
NCT identifier system,"study.versions.studyIdentifiers[$substring(text,0,3)=""NCT""].{id: ""https://clinicaltrials.gov""}",ResearchStudy,identifier.system,identifier,,
NCT identifier use,"study.versions.studyIdentifiers[$substring(text,0,3)=""NCT""].{id: ""official""}",ResearchStudy,identifier.use,identifier,,
Study titles,study.versions.titles.{id: text},ResearchStudy,label.value,label,StudyTitle,text
Official title,"study.versions.titles[type.code=""C207616""].{id: text}",ResearchStudy,title,title,StudyTitle,text
Official study title code,"study.versions.titles[type.code=""C207616""].{id: ""official""}",ResearchStudy,label.type.coding.code,label,StudyTitle,type
Official study title decode,"study.versions.titles[type.code=""C207616""].{id: ""Official title""}",ResearchStudy,label.type.coding.display,label,StudyTitle,type
Study titles FHIR codesystem,"study.versions.titles.{id: ""http://hl7.org/fhir/title-type""}",ResearchStudy,label.type.coding.system,label,StudyTitle,type
Brief title code,"study.versions.titles[type.code=""C207615""].{id: ""short-title""}",ResearchStudy,label.type.coding.code,label,StudyTitle,type
Brief title decode,"study.versions.titles[type.code=""C207615""].{id: ""Short title""}",ResearchStudy,label.type.coding.display,label,StudyTitle,type
Acronym code,"study.versions.titles[type.code=""C94108""].{id: ""acronym""}",ResearchStudy,label.type.coding.code,label,StudyTitle,type
Acronym decode,"study.versions.titles[type.code=""C94108""].{id: ""Acronym""}",ResearchStudy,label.type.coding.display,label,StudyTitle,type
Minimum Age text,"{""id01"": ""Minimum Age: "" & $min([study.versions.studyDesigns.population.plannedAge.minValue.value,study.versions.studyDesigns.population.cohorts.plannedAge.minValue.value]) &  
"" "" & $distinct(study.versions.studyDesigns.population.plannedAge.minValue.unit.standardCode.decode) &""s""
&  $substring($distinct(study.versions.studyDesigns.population.cohorts.plannedAge.minValue.unit.standardCode.decode),0,1)}",ResearchStudy,classifier.text,classifier,PopulationDefinition,plannedAge
Maximum Age text,"{""id02"": ""Maximum Age: "" & $min([study.versions.studyDesigns.population.plannedAge.maxValue.value,study.versions.studyDesigns.population.cohorts.plannedAge.maxValue.value]) &  
"" "" & $distinct(study.versions.studyDesigns.population.plannedAge.maxValue.unit.standardCode.decode) &""s""
&  $substring($distinct(study.versions.studyDesigns.population.cohorts.plannedAge.maxValue.unit.standardCode.decode),0,1)}",ResearchStudy,classifier.text,classifier,PopulationDefinition,plannedAge
Objective text,study.versions.studyDesigns.objectives.{id: text},ResearchStudy,objective.name,objective,Objective,text
Objective primary level,"study.versions.studyDesigns.objectives[level.code=""C85826""].{id: ""primary""}",ResearchStudy,objective.type.coding.code,objective,Objective,type
Objective primary level,"study.versions.studyDesigns.objectives[level.code=""C85826""].{id: ""Primary""}",ResearchStudy,objective.type.coding.display,objective,Objective,level
Objective codeSystem FHIR,"study.versions.studyDesigns.objectives.{id: ""http://terminology.hl7.org/CodeSystem/research-study-objective-type""}",ResearchStudy,objective.type.coding.system,objective,,
Objective secondary level,"study.versions.studyDesigns.objectives[level.code=""C85827""].{id: ""secondary""}",ResearchStudy,objective.type.coding.code,objective,Objective,level
Objective secondary level,"study.versions.studyDesigns.objectives[level.code=""C85827""].{id: ""Secondary""}",ResearchStudy,objective.type.coding.display,objective,Objective,level
Objective exploratory level,"study.versions.studyDesigns.objectives[level.code=""C163559""].{id: ""exploratory""}",ResearchStudy,objective.type.coding.code,objective,Objective,level
Objective exploratory level,"study.versions.studyDesigns.objectives[level.code=""C163559""].{id: ""Exploratory""}",ResearchStudy,objective.type.coding.display,objective,Objective,level
Endpoints,study.versions.studyDesigns.objectives@$ob.$ob.endpoints.{$ob.id: text},ResearchStudy,objective.outcomeMeasure.name,objective;outcomeMeasure,Endpoint,text
Endpoint level code,"study.versions.studyDesigns.objectives@$ob.$ob.endpoints[level.code=""C94496""].{$ob.id: ""primary""}",ResearchStudy,objective.outcomeMeasure.type.coding.code,objective;outcomeMeasure,Endpoint,level
Endpoint level decode,"study.versions.studyDesigns.objectives@$ob.$ob.endpoints[level.code=""C94496""].{$ob.id: ""Primary""}",ResearchStudy,objective.outcomeMeasure.type.coding.display,objective;outcomeMeasure,Endpoint,level
Endpoint level code system,"study.versions.studyDesigns.objectives@$ob.$ob.endpoints.{$ob.id: ""http://terminology.hl7.org/CodeSystem/research-study-objective-type""}",ResearchStudy,objective.outcomeMeasure.type.coding.system,objective;outcomeMeasure,,
Endpoint level code,"study.versions.studyDesigns.objectives@$ob.$ob.endpoints[level.code=""C139173""].{$ob.id: ""secondary""}",ResearchStudy,objective.outcomeMeasure.type.coding.code,objective;outcomeMeasure,Endpoint,level
Endpoint level decode,"study.versions.studyDesigns.objectives@$ob.$ob.endpoints[level.code=""C139173""].{$ob.id: ""Secondary""}",ResearchStudy,objective.outcomeMeasure.type.coding.display,objective;outcomeMeasure,Endpoint,level
Endpoint level code,"study.versions.studyDesigns.objectives@$ob.$ob.endpoints[level.code=""C170559""].{$ob.id: ""exploratory""}",ResearchStudy,objective.outcomeMeasure.type.coding.code,objective;outcomeMeasure,Endpoint,level
Endpoint level decode,"study.versions.studyDesigns.objectives@$ob.$ob.endpoints[level.code=""C170559""].{$ob.id: ""Exploratory""}",ResearchStudy,objective.outcomeMeasure.type.coding.display,objective;outcomeMeasure,Endpoint,level
Phase code,"study.versions.studyDesigns.studyPhase.standardCodeAliases[codeSystem=""http://terminology.hl7.org/CodeSystem/research-study-phase""].{id: code}",ResearchStudy,phase.coding.code,phase,StudyDesign,studyPhase
Phase decode,"study.versions.studyDesigns.studyPhase.standardCodeAliases[codeSystem=""http://terminology.hl7.org/CodeSystem/research-study-phase""].{id: decode}",ResearchStudy,phase.coding.display,phase,StudyDesign,studyPhase
Phase codeSystem,"study.versions.studyDesigns.studyPhase.standardCodeAliases[codeSystem=""http://terminology.hl7.org/CodeSystem/research-study-phase""].{id: codeSystem}",ResearchStudy,phase.coding.system,phase,StudyDesign,studyPhase
location reference,study.versions.organizations.managedSites.{id: id},ResearchStudy,site.reference,site,StudySite,id
location id,study.versions.organizations.managedSites.{id: id},Location,id,,,
site name,study.versions.organizations.managedSites.{id: label},Location,name,,StudySite,label
site type,"study.versions.organizations.managedSites.{id: ""location""}",Location,type,,,
site country,study.versions.organizations.managedSites.{id: country.code},Location,address.country,,StudySite,country
no healthy subjects code,"study.versions.studyDesigns.population[includesHealthySubjects=false].{id: ""does-not-include-healthy-volunteers""}",ResearchStudy,classifier.coding.code,classifier,StudyDesignPopulation,includesHealthySubjects
no healthy subjects decode,"study.versions.studyDesigns.population[includesHealthySubjects=false].{id: ""Does not include healthy volunteers""}",ResearchStudy,classifier.coding.display,classifier,StudyDesignPopulation,includesHealthySubjects
healthy subjects code,"study.versions.studyDesigns.population[includesHealthySubjects=true].{id: ""includes-healthy-volunteers""}",ResearchStudy,classifier.coding.code,classifier,StudyDesignPopulation,includesHealthySubjects
healthy subjects decode,"study.versions.studyDesigns.population[includesHealthySubjects=true].{id: ""Includes healthy volunteers""}",ResearchStudy,classifier.coding.display,classifier,StudyDesignPopulation,includesHealthySubjects
(no) healthy subjects codeSystem,"study.versions.studyDesigns.population.{id: ""https://fevir.net/resources/CodeSystem/419455""}",ResearchStudy,classifier.coding.system,classifier,,
treatment study code,"study.versions.studyDesigns.intentTypes[code=""C49656""].{id: ""treatment""}",ResearchStudy,purposeType.coding.code,purposeType,StudyDesign,intentTypes
treatment study decode,"study.versions.studyDesigns.intentTypes[code=""C49656""].{id: ""Treatment""}",ResearchStudy,purposeType.coding.display,purposeType,StudyDesign,intentTypes
study type codesystem,"study.versions.studyDesigns.intentTypes.{id: ""https://terminology.hl7.org/7.1.0/en/CodeSystem-research-study-prim-purp-type.html""}",ResearchStudy,purposeType.coding.system,purposeType,,
prevention study code,"study.versions.studyDesigns.intentTypes[code=""C49657""].{id: ""prevention""}",ResearchStudy,purposeType.coding.code,purposeType,StudyDesign,intentTypes
prevention study decode,"study.versions.studyDesigns.intentTypes[code=""C49657""].{id: ""Prevention""}",ResearchStudy,purposeType.coding.display,purposeType,StudyDesign,intentTypes
diagnostic study code,"study.versions.studyDesigns.intentTypes[code=""C49653""].{id: ""diagnostic""}",ResearchStudy,purposeType.coding.code,purposeType,StudyDesign,intentTypes
diagnostic study decode,"study.versions.studyDesigns.intentTypes[code=""C49653""].{id: ""Diagnostic""}",ResearchStudy,purposeType.coding.display,purposeType,StudyDesign,intentTypes
device feasibility study code,"study.versions.studyDesigns.intentTypes[code=""C139174""].{id: ""device-feasibility""}",ResearchStudy,purposeType.coding.code,purposeType,StudyDesign,intentTypes
device feasibility study decode,"study.versions.studyDesigns.intentTypes[code=""C139174""].{id: ""Device Feasibility""}",ResearchStudy,purposeType.coding.display,purposeType,StudyDesign,intentTypes
Reference to group of criteria,"{""eligibility-criteria"": ""eligibility-criteria""}",ResearchStudy,recruitment.eligibility,recruitment,,
Eligibility overall list id,"{""eligibility-criteria"": ""eligibility-criteria""}",Group-all,id,,,
combination method general,"{""eligibility-criteria"": ""all-of""}",Group-all,combinationMethod,,,
Eligibility criteria text,"study.versions@$sv.(
  $sv.studyDesigns.eligibilityCriteria@$ex.
  {$ex.id: $sv.eligibilityCriterionItems[id=$ex.criterionItemId].text})",Group-all,characteristic.valueCodeableConcept,characteristic,,
Exclusion criterion true/false?,"study.versions.studyDesigns.eligibilityCriteria.{id: category.code=""C25370""}",Group-all,characteristic.exclude,characteristic,,
Group references,"study.versions@$sv.(
  $sv.studyDesigns.eligibilityCriteria@$ex.(
  $respIds := $sv.extensionAttributes.extensionAttributes.valueExtensionClass[url=""https://cdisc.org/usdm/extension-ExpResponse/class_ExpectedResponse"" and extensionAttributes[valueId=$ex.id]].id;
  $nodeIds := $sv.extensionAttributes.extensionAttributes.valueExtensionClass[url=""https://cdisc.org/usdm/extension-ExpResponseNode/class1"" and extensionAttributes.extensionAttributes[valueId in $respIds]].id;
  {$ex.id: $nodeIds ? $nodeIds : $respIds}))",Group-all,characteristic.valueReference.reference,characteristic,,
Node reference indication,"study.versions@$sv.(
  $sv.studyDesigns.eligibilityCriteria@$ex.(
  $respIds := $sv.extensionAttributes.extensionAttributes.valueExtensionClass[url=""https://cdisc.org/usdm/extension-ExpResponse/class_ExpectedResponse"" and extensionAttributes[valueId=$ex.id]].id;
  {$ex.id: ($respIds) ? ""Group""}))",Group-all,characteristic.valueReference.type,characteristic,ExpectedResponse,atTiming
eligibility criteria subgroup referenced id,"study.versions@$sv.(
  $sv.studyDesigns.eligibilityCriteria@$ex.(
  $respIds := $sv.extensionAttributes.extensionAttributes.valueExtensionClass[url=""https://cdisc.org/usdm/extension-ExpResponse/class_ExpectedResponse"" and extensionAttributes[valueId=$ex.id]].id;
  $nodeIds := $sv.extensionAttributes.extensionAttributes.valueExtensionClass[url=""https://cdisc.org/usdm/extension-ExpResponseNode/class1"" and extensionAttributes.extensionAttributes[valueId in $respIds]].id;
  $RefId := $nodeIds ? $nodeIds : $respIds; 
  {$RefId: $RefId}))",Group,id,,ExpectedResponse,id
eligibility criteria - response combination method,"study.versions@$sv.(
  $sv.studyDesigns.eligibilityCriteria@$ex.(
  $respIds := $sv.extensionAttributes.extensionAttributes.valueExtensionClass[url=""https://cdisc.org/usdm/extension-ExpResponse/class_ExpectedResponse"" and extensionAttributes[valueId=$ex.id]].id;
  $nodeIds := $sv.extensionAttributes.extensionAttributes.valueExtensionClass[url=""https://cdisc.org/usdm/extension-ExpResponseNode/class1"" and extensionAttributes.extensionAttributes[valueId in $respIds]].id;
  $nodeOperator := $sv.extensionAttributes.extensionAttributes.valueExtensionClass[url=""https://cdisc.org/usdm/extension-ExpResponseNode/class1""].extensionAttributes[url=""https://cdisc.org/usdm/extension-ExpResponseNode-1/attribute-operator""].valueString;
  $GetMethod := function($m){$m=""AND""? ""all-of"" : $m=""OR"" ? ""any-of"" : ""unknown""};
  $RefId := $nodeIds ? $nodeIds : $respIds; 
  $method := $nodeIds ? $GetMethod($nodeOperator) : ""all-of""; 
  {$RefId: $method}))",Group,combinationMethod,,,
"expected response label (set to ""Node"" for combinations)","study.versions@$sv.(
  $sv.studyDesigns.eligibilityCriteria@$ex.(
  $respIds := $sv.extensionAttributes.extensionAttributes.valueExtensionClass[url=""https://cdisc.org/usdm/extension-ExpResponse/class_ExpectedResponse"" and extensionAttributes[valueId=$ex.id]].id;
  $nodeIds := $sv.extensionAttributes.extensionAttributes.valueExtensionClass[url=""https://cdisc.org/usdm/extension-ExpResponseNode/class1"" and extensionAttributes.extensionAttributes[valueId in $respIds]].id;
  $labelResp := $sv.extensionAttributes.extensionAttributes.valueExtensionClass[url=""https://cdisc.org/usdm/extension-ExpResponse/class_ExpectedResponse"" and extensionAttributes[valueId=$ex.id]].extensionAttributes[url=""https://cdisc.org/usdm/extension-ExpResponse-1/attribute-label""].valueString;
  $RefId := $nodeIds ? $nodeIds : $respIds; 
  $label := $nodeIds ? ""Node"" : $labelResp; 
  {$RefId: $label}))",Group,description,,ExpectedResponse,label
expected response min value,"study.versions@$sv.(
  $sv.studyDesigns.eligibilityCriteria@$ex.(
  $respIds := $sv.extensionAttributes.extensionAttributes.valueExtensionClass[url=""https://cdisc.org/usdm/extension-ExpResponse/class_ExpectedResponse"" and extensionAttributes[valueId=$ex.id]].id;
  $nodeIds := $sv.extensionAttributes.extensionAttributes.valueExtensionClass[url=""https://cdisc.org/usdm/extension-ExpResponseNode/class1"" and extensionAttributes.extensionAttributes[valueId in $respIds]].id;
  $GetResult := function($id){$sv.extensionAttributes.extensionAttributes.valueExtensionClass[url=""https://cdisc.org/usdm/extension-ExpResponse/class_ExpectedResponse"" and extensionAttributes[valueId=$ex.id]].extensionAttributes[url=""https://cdisc.org/usdm/extension-ExpResponse-1/attribute-value""].valueRange.minValue.value};
  $RefId := $nodeIds ? $nodeIds : $respIds; 
  $result := $nodeIds ? $GetResult($nodeIds) : $GetResult($respIds); 
  {$RefId: [$result]}))",Group,characteristic.valueRange.low.value,characteristic,ExpectedResponse,value
